### Latency (filesize=MB, latency=usec) ###
name,op,filesize,iosize,threads,avg,min,max,std,p50,p99,p999,p9999,p99999
ext4_out_lat,rr,128,1K,1,1.03,0.24,66.80,1.15,0.74,5.37,13.97,27.14,51.12,
ext4_out_lat,sw,128,1M,1,1603.92,1397.28,2520.89,199.09,1560.80,2515.69,2520.89,0.00,0.00,925.93
ext4_out_lat,sr,128,64K,1,26.10,6.88,129.16,19.71,34.76,71.64,95.22,129.16,0.00,
ext4_out_lat,rr,128,4K,1,1.95,0.56,45.45,1.52,1.59,7.96,18.46,27.21,45.45,
ext4_out_lat,sw,128,1K,1,72.22,47.69,1403.28,47.60,66.24,132.31,1038.77,1175.03,1349.64,68.82
ext4_out_lat,rw,128,4K,1,61.99,13.86,458.16,36.23,75.86,141.97,197.61,332.18,458.16,58.91
ext4_out_lat,sw,128,4K,1,77.97,59.84,588.59,16.21,71.95,134.47,197.52,331.46,588.59,73.87
ext4_out_lat,rw,128,1K,1,34.51,13.39,628.74,32.74,16.42,135.35,182.84,295.99,585.64,32.58
ext4_out_lat,sr,128,1M,1,447.86,357.17,846.67,96.38,422.45,731.74,846.67,0.00,0.00,
ext4_out_lat,rr,128,64K,1,25.11,5.57,113.15,11.91,23.04,65.41,99.62,113.15,0.00,
ext4_out_lat,rw,128,64K,1,172.43,25.73,478.35,43.69,174.87,280.61,434.26,478.35,0.00,140.35
ext4_out_lat,rw,128,1M,1,1284.79,746.58,2714.99,320.42,1306.39,2529.48,2714.99,0.00,0.00,827.10
ext4_out_lat,rr,128,16K,1,7.15,1.61,63.11,4.08,6.11,21.73,36.02,63.11,0.00,
ext4_out_lat,rr,128,1M,1,405.91,188.35,894.12,159.80,387.78,881.15,894.12,0.00,0.00,
ext4_out_lat,sr,128,1K,1,0.78,0.41,102.37,2.99,0.49,1.19,36.98,57.78,81.62,
ext4_out_lat,sw,128,16K,1,99.75,71.99,502.31,20.41,97.05,165.09,230.79,502.31,0.00,89.60
ext4_out_lat,sw,128,64K,1,179.71,140.62,613.89,29.31,171.72,284.27,423.42,613.89,0.00,137.80
ext4_out_lat,rw,128,16K,1,92.98,23.13,603.96,37.44,94.64,187.84,287.17,603.96,0.00,85.54
ext4_out_lat,sr,128,16K,1,6.51,1.85,93.17,11.69,2.09,49.15,58.91,93.17,0.00,
ext4_out_lat,sr,128,4K,1,1.82,0.62,127.78,5.92,0.72,32.40,47.24,64.23,127.78,
### Throughput (filesize=MB, aggtput=MB/s) ###
name,op,filesize,iosize,threads,aggtput
ext4_out_tput,sw,40960,64K,1,3366.990,12165.169,1835.076
### CPU Utilization (% every second, 100% = 1 core) ###
name,op,iosize,threads,start(timestamp),cpuutil...
